"country","age_group","target_end_date","year_week","week","year","weekly_rsv_hospitalisations","season"
"Austria","total",2027-07-11,"2027-W27",27,2027,12,"2026/2027"
"Austria","total",2027-07-18,"2027-W28",28,2027,9,"2026/2027"
"Austria","total",2027-07-25,"2027-W29",29,2027,12,"2026/2027"
"Austria","total",2027-08-01,"2027-W30",30,2027,8,"2026/2027"
"Austria","total",2027-08-08,"2027-W31",31,2027,10,"2026/2027"
"Austria","total",2027-08-15,"2027-W32",32,2027,13,"2026/2027"
"Austria","total",2027-08-22,"2027-W33",33,2027,6,"2026/2027"
"Austria","total",2027-08-29,"2027-W34",34,2027,8,"2026/2027"
"Austria","total",2027-09-05,"2027-W35",35,2027,12,"2027/2028"
"Austria","total",2027-09-12,"2027-W36",36,2027,8,"2027/2028"
"Austria","total",2027-09-19,"2027-W37",37,2027,22,"2027/2028"
"Austria","total",2027-09-26,"2027-W38",38,2027,20,"2027/2028"
"Austria","total",2027-10-03,"2027-W39",39,2027,28,"2027/2028"
"Austria","total",2027-10-10,"2027-W40",40,2027,69,"2027/2028"
"Austria","total",2027-10-17,"2027-W41",41,2027,89,"2027/2028"
"Austria","total",2027-10-24,"2027-W42",42,2027,134,"2027/2028"
"Austria","total",2027-10-31,"2027-W43",43,2027,175,"2027/2028"
"Austria","total",2027-11-07,"2027-W44",44,2027,283,"2027/2028"
"Austria","total",2027-11-14,"2027-W45",45,2027,353,"2027/2028"
"Austria","total",2027-11-21,"2027-W46",46,2027,428,"2027/2028"
"Austria","total",2027-11-28,"2027-W47",47,2027,477,"2027/2028"
"Austria","total",2027-12-05,"2027-W48",48,2027,493,"2027/2028"
"Austria","total",2027-12-12,"2027-W49",49,2027,477,"2027/2028"
"Austria","total",2027-12-19,"2027-W50",50,2027,426,"2027/2028"
"Austria","total",2027-12-26,"2027-W51",51,2027,427,"2027/2028"
"Austria","total",2028-01-02,"2027-W52",52,2027,385,"2027/2028"
"Austria","total",2028-01-09,"2028-W01",1,2028,366,"2027/2028"
"Austria","total",2028-01-16,"2028-W02",2,2028,299,"2027/2028"
"Austria","total",2028-01-23,"2028-W03",3,2028,227,"2027/2028"
"Austria","total",2028-01-30,"2028-W04",4,2028,192,"2027/2028"
"Austria","total",2028-02-06,"2028-W05",5,2028,174,"2027/2028"
"Austria","total",2028-02-13,"2028-W06",6,2028,159,"2027/2028"
"Austria","total",2028-02-20,"2028-W07",7,2028,157,"2027/2028"
"Austria","total",2028-02-27,"2028-W08",8,2028,131,"2027/2028"
"Austria","total",2028-03-05,"2028-W09",9,2028,105,"2027/2028"
"Austria","total",2028-03-12,"2028-W10",10,2028,76,"2027/2028"
"Austria","total",2028-03-19,"2028-W11",11,2028,83,"2027/2028"
"Austria","total",2028-03-26,"2028-W12",12,2028,66,"2027/2028"
"Austria","total",2028-04-02,"2028-W13",13,2028,61,"2027/2028"
"Austria","total",2028-04-09,"2028-W14",14,2028,48,"2027/2028"
"Austria","total",2028-04-16,"2028-W15",15,2028,44,"2027/2028"
"Austria","total",2028-04-23,"2028-W16",16,2028,33,"2027/2028"
"Austria","total",2028-04-30,"2028-W17",17,2028,27,"2027/2028"
"Austria","total",2028-05-07,"2028-W18",18,2028,22,"2027/2028"
"Austria","total",2028-05-14,"2028-W19",19,2028,27,"2027/2028"
"Austria","total",2028-05-21,"2028-W20",20,2028,24,"2027/2028"
"Austria","total",2028-05-28,"2028-W21",21,2028,15,"2027/2028"
"Austria","total",2028-06-04,"2028-W22",22,2028,19,"2027/2028"
"Austria","total",2028-06-11,"2028-W23",23,2028,14,"2027/2028"
"Austria","total",2028-06-18,"2028-W24",24,2028,20,"2027/2028"
"Austria","total",2028-06-25,"2028-W25",25,2028,16,"2027/2028"
"Austria","total",2028-07-02,"2028-W26",26,2028,15,"2027/2028"
"Austria","total",2028-07-09,"2028-W27",27,2028,12,"2027/2028"
"Austria","total",2028-07-16,"2028-W28",28,2028,9,"2027/2028"
"Austria","total",2028-07-23,"2028-W29",29,2028,12,"2027/2028"
"Austria","total",2028-07-30,"2028-W30",30,2028,8,"2027/2028"
"Austria","total",2028-08-06,"2028-W31",31,2028,10,"2027/2028"
"Austria","total",2028-08-13,"2028-W32",32,2028,13,"2027/2028"
"Austria","total",2028-08-20,"2028-W33",33,2028,6,"2027/2028"
"Austria","total",2028-08-27,"2028-W34",34,2028,8,"2027/2028"
"Belgium","total",2026-09-06,"2026-W36",36,2026,21,"2026/2027"
"Belgium","total",2026-09-13,"2026-W37",37,2026,21,"2026/2027"
"Belgium","total",2026-09-20,"2026-W38",38,2026,30,"2026/2027"
"Belgium","total",2026-09-27,"2026-W39",39,2026,37,"2026/2027"
"Belgium","total",2026-10-04,"2026-W40",40,2026,55,"2026/2027"
"Belgium","total",2026-10-11,"2026-W41",41,2026,79,"2026/2027"
"Belgium","total",2026-10-18,"2026-W42",42,2026,146,"2026/2027"
"Belgium","total",2026-10-25,"2026-W43",43,2026,206,"2026/2027"
"Belgium","total",2026-11-01,"2026-W44",44,2026,316,"2026/2027"
"Belgium","total",2026-11-08,"2026-W45",45,2026,393,"2026/2027"
"Belgium","total",2026-11-15,"2026-W46",46,2026,494,"2026/2027"
"Belgium","total",2026-11-22,"2026-W47",47,2026,582,"2026/2027"
"Belgium","total",2026-11-29,"2026-W48",48,2026,696,"2026/2027"
"Belgium","total",2026-12-06,"2026-W49",49,2026,731,"2026/2027"
"Belgium","total",2026-12-13,"2026-W50",50,2026,738,"2026/2027"
"Belgium","total",2026-12-20,"2026-W51",51,2026,674,"2026/2027"
"Belgium","total",2026-12-27,"2026-W52",52,2026,587,"2026/2027"
"Belgium","total",2027-01-03,"2026-W53",53,2026,592,"2026/2027"
"Belgium","total",2027-01-10,"2027-W01",1,2027,567,"2026/2027"
"Belgium","total",2027-01-17,"2027-W02",2,2027,395,"2026/2027"
"Belgium","total",2027-01-24,"2027-W03",3,2027,323,"2026/2027"
"Belgium","total",2027-01-31,"2027-W04",4,2027,287,"2026/2027"
"Belgium","total",2027-02-07,"2027-W05",5,2027,260,"2026/2027"
"Belgium","total",2027-02-14,"2027-W06",6,2027,211,"2026/2027"
"Belgium","total",2027-02-21,"2027-W07",7,2027,210,"2026/2027"
"Belgium","total",2027-02-28,"2027-W08",8,2027,185,"2026/2027"
"Belgium","total",2027-03-07,"2027-W09",9,2027,187,"2026/2027"
"Belgium","total",2027-03-14,"2027-W10",10,2027,139,"2026/2027"
"Belgium","total",2027-03-21,"2027-W11",11,2027,138,"2026/2027"
"Belgium","total",2027-03-28,"2027-W12",12,2027,107,"2026/2027"
"Belgium","total",2027-04-04,"2027-W13",13,2027,85,"2026/2027"
"Belgium","total",2027-04-11,"2027-W14",14,2027,66,"2026/2027"
"Belgium","total",2027-04-18,"2027-W15",15,2027,80,"2026/2027"
"Belgium","total",2027-04-25,"2027-W16",16,2027,53,"2026/2027"
"Belgium","total",2027-05-02,"2027-W17",17,2027,49,"2026/2027"
"Belgium","total",2027-05-09,"2027-W18",18,2027,46,"2026/2027"
"Belgium","total",2027-05-16,"2027-W19",19,2027,40,"2026/2027"
"Belgium","total",2027-05-23,"2027-W20",20,2027,44,"2026/2027"
"Belgium","total",2027-05-30,"2027-W21",21,2027,27,"2026/2027"
"Belgium","total",2027-06-06,"2027-W22",22,2027,25,"2026/2027"
"Belgium","total",2027-06-13,"2027-W23",23,2027,20,"2026/2027"
"Belgium","total",2027-06-20,"2027-W24",24,2027,20,"2026/2027"
"Belgium","total",2027-06-27,"2027-W25",25,2027,18,"2026/2027"
"Belgium","total",2027-07-04,"2027-W26",26,2027,11,"2026/2027"
"Belgium","total",2027-07-11,"2027-W27",27,2027,21,"2026/2027"
"Belgium","total",2027-07-18,"2027-W28",28,2027,16,"2026/2027"
"Belgium","total",2027-07-25,"2027-W29",29,2027,12,"2026/2027"
"Belgium","total",2027-08-01,"2027-W30",30,2027,14,"2026/2027"
"Belgium","total",2027-08-08,"2027-W31",31,2027,28,"2026/2027"
"Belgium","total",2027-08-15,"2027-W32",32,2027,18,"2026/2027"
"Belgium","total",2027-08-22,"2027-W33",33,2027,15,"2026/2027"
"Belgium","total",2027-08-29,"2027-W34",34,2027,16,"2026/2027"
"Belgium","total",2027-09-05,"2027-W35",35,2027,21,"2027/2028"
"Belgium","total",2027-09-12,"2027-W36",36,2027,21,"2027/2028"
"Belgium","total",2027-09-19,"2027-W37",37,2027,30,"2027/2028"
"Belgium","total",2027-09-26,"2027-W38",38,2027,37,"2027/2028"
"Belgium","total",2027-10-03,"2027-W39",39,2027,55,"2027/2028"
"Belgium","total",2027-10-10,"2027-W40",40,2027,79,"2027/2028"
"Belgium","total",2027-10-17,"2027-W41",41,2027,146,"2027/2028"
"Belgium","total",2027-10-24,"2027-W42",42,2027,206,"2027/2028"
"Belgium","total",2027-10-31,"2027-W43",43,2027,316,"2027/2028"
"Belgium","total",2027-11-07,"2027-W44",44,2027,393,"2027/2028"
"Belgium","total",2027-11-14,"2027-W45",45,2027,494,"2027/2028"
"Belgium","total",2027-11-21,"2027-W46",46,2027,582,"2027/2028"
"Belgium","total",2027-11-28,"2027-W47",47,2027,696,"2027/2028"
"Belgium","total",2027-12-05,"2027-W48",48,2027,731,"2027/2028"
"Belgium","total",2027-12-12,"2027-W49",49,2027,738,"2027/2028"
"Belgium","total",2027-12-19,"2027-W50",50,2027,674,"2027/2028"
"Belgium","total",2027-12-26,"2027-W51",51,2027,587,"2027/2028"
"Belgium","total",2028-01-02,"2027-W52",52,2027,592,"2027/2028"
"Belgium","total",2028-01-09,"2028-W01",1,2028,567,"2027/2028"
"Belgium","total",2028-01-16,"2028-W02",2,2028,395,"2027/2028"
"Belgium","total",2028-01-23,"2028-W03",3,2028,323,"2027/2028"
"Belgium","total",2028-01-30,"2028-W04",4,2028,287,"2027/2028"
"Belgium","total",2028-02-06,"2028-W05",5,2028,260,"2027/2028"
"Belgium","total",2028-02-13,"2028-W06",6,2028,211,"2027/2028"
"Belgium","total",2028-02-20,"2028-W07",7,2028,210,"2027/2028"
"Belgium","total",2028-02-27,"2028-W08",8,2028,185,"2027/2028"
"Belgium","total",2028-03-05,"2028-W09",9,2028,187,"2027/2028"
"Belgium","total",2028-03-12,"2028-W10",10,2028,139,"2027/2028"
"Belgium","total",2028-03-19,"2028-W11",11,2028,138,"2027/2028"
"Belgium","total",2028-03-26,"2028-W12",12,2028,107,"2027/2028"
"Belgium","total",2028-04-02,"2028-W13",13,2028,85,"2027/2028"
"Belgium","total",2028-04-09,"2028-W14",14,2028,66,"2027/2028"
"Belgium","total",2028-04-16,"2028-W15",15,2028,80,"2027/2028"
"Belgium","total",2028-04-23,"2028-W16",16,2028,53,"2027/2028"
"Belgium","total",2028-04-30,"2028-W17",17,2028,49,"2027/2028"
"Belgium","total",2028-05-07,"2028-W18",18,2028,46,"2027/2028"
"Belgium","total",2028-05-14,"2028-W19",19,2028,40,"2027/2028"
"Belgium","total",2028-05-21,"2028-W20",20,2028,44,"2027/2028"
"Belgium","total",2028-05-28,"2028-W21",21,2028,27,"2027/2028"
"Belgium","total",2028-06-04,"2028-W22",22,2028,25,"2027/2028"
"Belgium","total",2028-06-11,"2028-W23",23,2028,20,"2027/2028"
"Belgium","total",2028-06-18,"2028-W24",24,2028,20,"2027/2028"
"Belgium","total",2028-06-25,"2028-W25",25,2028,18,"2027/2028"
"Belgium","total",2028-07-02,"2028-W26",26,2028,11,"2027/2028"
"Belgium","total",2028-07-09,"2028-W27",27,2028,21,"2027/2028"
"Belgium","total",2028-07-16,"2028-W28",28,2028,16,"2027/2028"
"Belgium","total",2028-07-23,"2028-W29",29,2028,12,"2027/2028"
"Belgium","total",2028-07-30,"2028-W30",30,2028,14,"2027/2028"
"Belgium","total",2028-08-06,"2028-W31",31,2028,28,"2027/2028"
"Belgium","total",2028-08-13,"2028-W32",32,2028,18,"2027/2028"
"Belgium","total",2028-08-20,"2028-W33",33,2028,15,"2027/2028"
"Belgium","total",2028-08-27,"2028-W34",34,2028,16,"2027/2028"
"Bulgaria","total",2026-09-06,"2026-W36",36,2026,3,"2026/2027"
"Bulgaria","total",2026-09-13,"2026-W37",37,2026,7,"2026/2027"
"Bulgaria","total",2026-09-20,"2026-W38",38,2026,14,"2026/2027"
"Bulgaria","total",2026-09-27,"2026-W39",39,2026,25,"2026/2027"
"Bulgaria","total",2026-10-04,"2026-W40",40,2026,30,"2026/2027"
"Bulgaria","total",2026-10-11,"2026-W41",41,2026,67,"2026/2027"
"Bulgaria","total",2026-10-18,"2026-W42",42,2026,63,"2026/2027"
"Bulgaria","total",2026-10-25,"2026-W43",43,2026,96,"2026/2027"
"Bulgaria","total",2026-11-01,"2026-W44",44,2026,137,"2026/2027"
"Bulgaria","total",2026-11-08,"2026-W45",45,2026,216,"2026/2027"
"Bulgaria","total",2026-11-15,"2026-W46",46,2026,279,"2026/2027"
"Bulgaria","total",2026-11-22,"2026-W47",47,2026,357,"2026/2027"
"Bulgaria","total",2026-11-29,"2026-W48",48,2026,385,"2026/2027"
"Bulgaria","total",2026-12-06,"2026-W49",49,2026,410,"2026/2027"
"Bulgaria","total",2026-12-13,"2026-W50",50,2026,411,"2026/2027"
"Bulgaria","total",2026-12-20,"2026-W51",51,2026,355,"2026/2027"
"Bulgaria","total",2026-12-27,"2026-W52",52,2026,350,"2026/2027"
"Bulgaria","total",2027-01-03,"2026-W53",53,2026,310,"2026/2027"
"Bulgaria","total",2027-01-10,"2027-W01",1,2027,298,"2026/2027"
"Bulgaria","total",2027-01-17,"2027-W02",2,2027,257,"2026/2027"
"Bulgaria","total",2027-01-24,"2027-W03",3,2027,192,"2026/2027"
"Bulgaria","total",2027-01-31,"2027-W04",4,2027,185,"2026/2027"
"Bulgaria","total",2027-02-07,"2027-W05",5,2027,140,"2026/2027"
"Bulgaria","total",2027-02-14,"2027-W06",6,2027,114,"2026/2027"
"Bulgaria","total",2027-02-21,"2027-W07",7,2027,124,"2026/2027"
"Bulgaria","total",2027-02-28,"2027-W08",8,2027,107,"2026/2027"
"Bulgaria","total",2027-03-07,"2027-W09",9,2027,87,"2026/2027"
"Bulgaria","total",2027-03-14,"2027-W10",10,2027,52,"2026/2027"
"Bulgaria","total",2027-03-21,"2027-W11",11,2027,63,"2026/2027"
"Bulgaria","total",2027-03-28,"2027-W12",12,2027,60,"2026/2027"
"Bulgaria","total",2027-04-04,"2027-W13",13,2027,56,"2026/2027"
"Bulgaria","total",2027-04-11,"2027-W14",14,2027,55,"2026/2027"
"Bulgaria","total",2027-04-18,"2027-W15",15,2027,43,"2026/2027"
"Bulgaria","total",2027-04-25,"2027-W16",16,2027,32,"2026/2027"
"Bulgaria","total",2027-05-02,"2027-W17",17,2027,31,"2026/2027"
"Bulgaria","total",2027-05-09,"2027-W18",18,2027,38,"2026/2027"
"Bulgaria","total",2027-05-16,"2027-W19",19,2027,24,"2026/2027"
"Bulgaria","total",2027-05-23,"2027-W20",20,2027,14,"2026/2027"
"Bulgaria","total",2027-05-30,"2027-W21",21,2027,9,"2026/2027"
"Bulgaria","total",2027-06-06,"2027-W22",22,2027,16,"2026/2027"
"Bulgaria","total",2027-06-13,"2027-W23",23,2027,13,"2026/2027"
"Bulgaria","total",2027-06-20,"2027-W24",24,2027,14,"2026/2027"
"Bulgaria","total",2027-06-27,"2027-W25",25,2027,7,"2026/2027"
"Bulgaria","total",2027-07-04,"2027-W26",26,2027,9,"2026/2027"
"Bulgaria","total",2027-07-11,"2027-W27",27,2027,13,"2026/2027"
"Bulgaria","total",2027-07-18,"2027-W28",28,2027,6,"2026/2027"
"Bulgaria","total",2027-07-25,"2027-W29",29,2027,12,"2026/2027"
"Bulgaria","total",2027-08-01,"2027-W30",30,2027,7,"2026/2027"
"Bulgaria","total",2027-08-08,"2027-W31",31,2027,4,"2026/2027"
"Bulgaria","total",2027-08-15,"2027-W32",32,2027,12,"2026/2027"
"Bulgaria","total",2027-08-22,"2027-W33",33,2027,7,"2026/2027"
"Bulgaria","total",2027-08-29,"2027-W34",34,2027,5,"2026/2027"
"Bulgaria","total",2027-09-05,"2027-W35",35,2027,3,"2027/2028"
"Bulgaria","total",2027-09-12,"2027-W36",36,2027,7,"2027/2028"
"Bulgaria","total",2027-09-19,"2027-W37",37,2027,14,"2027/2028"
"Bulgaria","total",2027-09-26,"2027-W38",38,2027,25,"2027/2028"
"Bulgaria","total",2027-10-03,"2027-W39",39,2027,30,"2027/2028"
"Bulgaria","total",2027-10-10,"2027-W40",40,2027,67,"2027/2028"
"Bulgaria","total",2027-10-17,"2027-W41",41,2027,63,"2027/2028"
"Bulgaria","total",2027-10-24,"2027-W42",42,2027,96,"2027/2028"
"Bulgaria","total",2027-10-31,"2027-W43",43,2027,137,"2027/2028"
"Bulgaria","total",2027-11-07,"2027-W44",44,2027,216,"2027/2028"
"Bulgaria","total",2027-11-14,"2027-W45",45,2027,279,"2027/2028"
"Bulgaria","total",2027-11-21,"2027-W46",46,2027,357,"2027/2028"
"Bulgaria","total",2027-11-28,"2027-W47",47,2027,385,"2027/2028"
"Bulgaria","total",2027-12-05,"2027-W48",48,2027,410,"2027/2028"
"Bulgaria","total",2027-12-12,"2027-W49",49,2027,411,"2027/2028"
"Bulgaria","total",2027-12-19,"2027-W50",50,2027,355,"2027/2028"
"Bulgaria","total",2027-12-26,"2027-W51",51,2027,350,"2027/2028"
"Bulgaria","total",2028-01-02,"2027-W52",52,2027,310,"2027/2028"
"Bulgaria","total",2028-01-09,"2028-W01",1,2028,298,"2027/2028"
"Bulgaria","total",2028-01-16,"2028-W02",2,2028,257,"2027/2028"
"Bulgaria","total",2028-01-23,"2028-W03",3,2028,192,"2027/2028"
"Bulgaria","total",2028-01-30,"2028-W04",4,2028,185,"2027/2028"
"Bulgaria","total",2028-02-06,"2028-W05",5,2028,140,"2027/2028"
"Bulgaria","total",2028-02-13,"2028-W06",6,2028,114,"2027/2028"
"Bulgaria","total",2028-02-20,"2028-W07",7,2028,124,"2027/2028"
"Bulgaria","total",2028-02-27,"2028-W08",8,2028,107,"2027/2028"
"Bulgaria","total",2028-03-05,"2028-W09",9,2028,87,"2027/2028"
"Bulgaria","total",2028-03-12,"2028-W10",10,2028,52,"2027/2028"
"Bulgaria","total",2028-03-19,"2028-W11",11,2028,63,"2027/2028"
"Bulgaria","total",2028-03-26,"2028-W12",12,2028,60,"2027/2028"
"Bulgaria","total",2028-04-02,"2028-W13",13,2028,56,"2027/2028"
"Bulgaria","total",2028-04-09,"2028-W14",14,2028,55,"2027/2028"
"Bulgaria","total",2028-04-16,"2028-W15",15,2028,43,"2027/2028"
"Bulgaria","total",2028-04-23,"2028-W16",16,2028,32,"2027/2028"
"Bulgaria","total",2028-04-30,"2028-W17",17,2028,31,"2027/2028"
"Bulgaria","total",2028-05-07,"2028-W18",18,2028,38,"2027/2028"
"Bulgaria","total",2028-05-14,"2028-W19",19,2028,24,"2027/2028"
"Bulgaria","total",2028-05-21,"2028-W20",20,2028,14,"2027/2028"
"Bulgaria","total",2028-05-28,"2028-W21",21,2028,9,"2027/2028"
"Bulgaria","total",2028-06-04,"2028-W22",22,2028,16,"2027/2028"
"Bulgaria","total",2028-06-11,"2028-W23",23,2028,13,"2027/2028"
"Bulgaria","total",2028-06-18,"2028-W24",24,2028,14,"2027/2028"
"Bulgaria","total",2028-06-25,"2028-W25",25,2028,7,"2027/2028"
"Bulgaria","total",2028-07-02,"2028-W26",26,2028,9,"2027/2028"
"Bulgaria","total",2028-07-09,"2028-W27",27,2028,13,"2027/2028"
"Bulgaria","total",2028-07-16,"2028-W28",28,2028,6,"2027/2028"
"Bulgaria","total",2028-07-23,"2028-W29",29,2028,12,"2027/2028"
"Bulgaria","total",2028-07-30,"2028-W30",30,2028,7,"2027/2028"
"Bulgaria","total",2028-08-06,"2028-W31",31,2028,4,"2027/2028"
"Bulgaria","total",2028-08-13,"2028-W32",32,2028,12,"2027/2028"
"Bulgaria","total",2028-08-20,"2028-W33",33,2028,7,"2027/2028"
"Bulgaria","total",2028-08-27,"2028-W34",34,2028,5,"2027/2028"
"Croatia","total",2026-09-06,"2026-W36",36,2026,6,"2026/2027"
"Croatia","total",2026-09-13,"2026-W37",37,2026,4,"2026/2027"
"Croatia","total",2026-09-20,"2026-W38",38,2026,9,"2026/2027"
"Croatia","total",2026-09-27,"2026-W39",39,2026,9,"2026/2027"
"Croatia","total",2026-10-04,"2026-W40",40,2026,11,"2026/2027"
"Croatia","total",2026-10-11,"2026-W41",41,2026,22,"2026/2027"
"Croatia","total",2026-10-18,"2026-W42",42,2026,32,"2026/2027"
"Croatia","total",2026-10-25,"2026-W43",43,2026,80,"2026/2027"
"Croatia","total",2026-11-01,"2026-W44",44,2026,92,"2026/2027"
"Croatia","total",2026-11-08,"2026-W45",45,2026,114,"2026/2027"
"Croatia","total",2026-11-15,"2026-W46",46,2026,151,"2026/2027"
"Croatia","total",2026-11-22,"2026-W47",47,2026,183,"2026/2027"
"Croatia","total",2026-11-29,"2026-W48",48,2026,192,"2026/2027"
"Croatia","total",2026-12-06,"2026-W49",49,2026,228,"2026/2027"
"Croatia","total",2026-12-13,"2026-W50",50,2026,237,"2026/2027"
"Croatia","total",2026-12-20,"2026-W51",51,2026,199,"2026/2027"
"Croatia","total",2026-12-27,"2026-W52",52,2026,197,"2026/2027"
"Croatia","total",2027-01-03,"2026-W53",53,2026,172,"2026/2027"
"Croatia","total",2027-01-10,"2027-W01",1,2027,186,"2026/2027"
"Croatia","total",2027-01-17,"2027-W02",2,2027,126,"2026/2027"
"Croatia","total",2027-01-24,"2027-W03",3,2027,94,"2026/2027"
"Croatia","total",2027-01-31,"2027-W04",4,2027,102,"2026/2027"
"Croatia","total",2027-02-07,"2027-W05",5,2027,72,"2026/2027"
"Croatia","total",2027-02-14,"2027-W06",6,2027,65,"2026/2027"
"Croatia","total",2027-02-21,"2027-W07",7,2027,61,"2026/2027"
"Croatia","total",2027-02-28,"2027-W08",8,2027,53,"2026/2027"
"Croatia","total",2027-03-07,"2027-W09",9,2027,50,"2026/2027"
"Croatia","total",2027-03-14,"2027-W10",10,2027,32,"2026/2027"
"Croatia","total",2027-03-21,"2027-W11",11,2027,42,"2026/2027"
"Croatia","total",2027-03-28,"2027-W12",12,2027,30,"2026/2027"
"Croatia","total",2027-04-04,"2027-W13",13,2027,32,"2026/2027"
"Croatia","total",2027-04-11,"2027-W14",14,2027,25,"2026/2027"
"Croatia","total",2027-04-18,"2027-W15",15,2027,23,"2026/2027"
"Croatia","total",2027-04-25,"2027-W16",16,2027,10,"2026/2027"
"Croatia","total",2027-05-02,"2027-W17",17,2027,18,"2026/2027"
"Croatia","total",2027-05-09,"2027-W18",18,2027,10,"2026/2027"
"Croatia","total",2027-05-16,"2027-W19",19,2027,14,"2026/2027"
"Croatia","total",2027-05-23,"2027-W20",20,2027,12,"2026/2027"
"Croatia","total",2027-05-30,"2027-W21",21,2027,7,"2026/2027"
"Croatia","total",2027-06-06,"2027-W22",22,2027,2,"2026/2027"
"Croatia","total",2027-06-13,"2027-W23",23,2027,7,"2026/2027"
"Croatia","total",2027-06-20,"2027-W24",24,2027,3,"2026/2027"
"Croatia","total",2027-06-27,"2027-W25",25,2027,7,"2026/2027"
"Croatia","total",2027-07-04,"2027-W26",26,2027,6,"2026/2027"
"Croatia","total",2027-07-11,"2027-W27",27,2027,8,"2026/2027"
"Croatia","total",2027-07-18,"2027-W28",28,2027,7,"2026/2027"
"Croatia","total",2027-07-25,"2027-W29",29,2027,3,"2026/2027"
"Croatia","total",2027-08-01,"2027-W30",30,2027,4,"2026/2027"
"Croatia","total",2027-08-08,"2027-W31",31,2027,6,"2026/2027"
"Croatia","total",2027-08-15,"2027-W32",32,2027,4,"2026/2027"
"Croatia","total",2027-08-22,"2027-W33",33,2027,4,"2026/2027"
"Croatia","total",2027-08-29,"2027-W34",34,2027,7,"2026/2027"
"Croatia","total",2027-09-05,"2027-W35",35,2027,6,"2027/2028"
"Croatia","total",2027-09-12,"2027-W36",36,2027,4,"2027/2028"
"Croatia","total",2027-09-19,"2027-W37",37,2027,9,"2027/2028"
"Croatia","total",2027-09-26,"2027-W38",38,2027,9,"2027/2028"
"Croatia","total",2027-10-03,"2027-W39",39,2027,11,"2027/2028"
"Croatia","total",2027-10-10,"2027-W40",40,2027,22,"2027/2028"
"Croatia","total",2027-10-17,"2027-W41",41,2027,32,"2027/2028"
"Croatia","total",2027-10-24,"2027-W42",42,2027,80,"2027/2028"
"Croatia","total",2027-10-31,"2027-W43",43,2027,92,"2027/2028"
